Abt, Andreas, 1944-01-02, M, REITEN
Ackermann, Anja, 1921-10-04, F, RADSPORT
Ackerman, Alexander, 1924-10-04, M, RUDERN
Austerlitz, Andrea, 1977-01-08, F, TURNEN
Ackerman, Alexander, 1944-03-08, M, FECHTEN
Abendroth, Anna, 1946-03-08, F, RUDERN
Abend, Anne, 1943-04-08, F, FUSSBALL
Austerlitz, Antje, 1954-11-10, F, RUDERN
Ackermann, Anja, 1961-11-10, F, FECHTEN
Abend, Andreas, 1958-01-13, M, HANDBALL
Ackermann, Angelika, 1918-04-14, F, LEICHTATHLETIK
Ackerman, Anke, 1952-06-14, F, HANDBALL
Achen, Anna, 1973-06-14, F, FECHTEN
Ackerman, Andreas, 1964-09-15, M, TANZEN
Abt, Annett, 1985-09-15, F, HANDBALL
Ackermann, Antje, 1993-09-15, F, RUDERN
Abend, Andrea, 1931-11-15, F, FECHTEN
Achen, Andrea, 1929-02-19, F, FUSSBALL
Abend, Andrea, 1977-07-20, F, HANDBALL
Amsel, Annett, 1961-09-20, F, TURNEN
Ackerman, Alexander, 1997-09-20, M, TANZEN
Austerlitz, Andrea, 1923-03-24, F, RUDERN
Achen, Alexander, 1923-07-25, M, SCHWIMMEN
Austerlitz, Andrea, 1932-12-26, F, HANDBALL
Adler, Angelika, 1940-01-29, F, FECHTEN
Abendroth, Alexander, 1987-01-29, M, FECHTEN
Austerlitz, Anja, 1920-05-30, F, LEICHTATHLETIK
Ackerman, Alexander, 1966-10-31, M, FECHTEN
Ackerman, Brigitte, 1993-01-05, F, RUDERN
Aachen, Benjamin, 1937-02-05, M, HANDBALL
Adler, Benjamin, 1938-06-06, M, RADSPORT
Ackermann, Brigitte, 1945-07-06, F, SCHWIMMEN
Abend, Birgit, 1985-01-10, F, RADSPORT
Aachen, Benjamin, 1936-05-11, M, TANZEN
Ackerman, Bernd, 1962-09-12, M, TANZEN
Adler, Barbara, 1918-03-16, F, TURNEN
Adler, Benjamin, 1990-04-16, M, TURNEN
Abt, Barbara, 1924-08-17, F, FUSSBALL
Ackerman, Barbara, 1985-12-18, F, RUDERN
Austerlitz, Benjamin, 1956-05-22, M, LEICHTATHLETIK
Ackerman, Barbara, 1948-06-22, F, FECHTEN
Aachen, Birgit, 1993-06-22, F, RADSPORT
Achen, Barbara, 1934-07-22, F, FUSSBALL
Ackerman, Bernd, 1938-10-23, M, TANZEN
Abend, Brigitte, 1973-12-23, F, RUDERN
Adler, Barbara, 1918-04-27, F, SCHWIMMEN
Ackermann, Christian, 1987-02-02, M, LEICHTATHLETIK
