Huber, Patrick, 1961-07-08, M, LEICHTATHLETIK
Kruger, Patrick, 1922-06-23, M, SCHWIMMEN
Wexler, Claudia, 1963-09-05, F, HANDBALL
Koehler, Sophia, 1930-02-09, F, TANZEN
Pfeiffer, Alexander, 1927-12-13, M, TANZEN
Brauer, Andrea, 1984-04-24, F, RUDERN
Fuerst, Matthias, 1985-12-07, M, REITEN
Gruenewald, David, 1938-03-04, M, FUSSBALL
Hirsch, Daniela, 1983-08-31, F, RADSPORT
Kirsch, Nadine, 1930-11-03, F, TANZEN
Gloeckner, Sophia, 1969-06-26, F, HANDBALL
Zimmer, Tanja, 1950-10-27, F, TANZEN
Konig, Phillipp, 1990-07-18, M, FUSSBALL
Amsel, Jonas, 1931-08-31, M, SCHWIMMEN
Eberhart, Jonas, 1942-05-25, M, TANZEN
Drechsler, Andreas, 1962-06-14, M, TANZEN
Fried, Robert, 1984-11-25, M, FUSSBALL
Friedmann, Anna, 1995-12-31, F, TURNEN
Schuster, Lukas, 1993-08-12, M, RADSPORT
Hahn, Silke, 1994-08-27, F, LEICHTATHLETIK
Baecker, Jens, 1994-08-04, M, SCHWIMMEN
Theiss, Sophia, 1942-11-04, F, RADSPORT
Ackermann, Erik, 1986-11-25, M, TURNEN
Maurer, Kerstin, 1935-11-06, F, TURNEN
Waechter, Tim, 1990-02-15, M, HANDBALL
Hofmann, Jennifer, 1934-08-30, F, TURNEN
Waechter, Markus, 1935-07-30, M, FUSSBALL
Theiss, Eric, 1958-06-21, M, TURNEN
Hoover, Bernd, 1960-05-15, M, SCHWIMMEN
Kruger, Marco, 1918-10-16, M, HANDBALL
Kunze, Janina, 1971-04-13, F, TURNEN
Herman, Sabine, 1954-02-20, F, TURNEN
Ebersbacher, Ralf, 1997-08-30, M, FECHTEN
Baum, Leonie, 1936-10-31, F, TURNEN
Schwartz, Uwe, 1943-01-23, M, FUSSBALL
Bergmann, Luca, 1939-07-25, M, RUDERN
Grunewald, Johanna, 1958-12-15, F, RADSPORT
Luft, Jens, 1993-01-13, M, TURNEN
Baader, Angelika, 1940-02-23, F, RADSPORT
Richter, Sophia, 1959-12-26, F, LEICHTATHLETIK
Beich, Monika, 1971-07-06, F, RADSPORT
Baader, Dennis, 1952-07-10, M, FUSSBALL
Keller, Rene, 1991-01-28, M, RUDERN
Frankfurter, Mario, 1951-08-01, M, FECHTEN
Weiss, Sandra, 1979-03-28, F, TURNEN
Schwartz, Jens, 1967-07-29, M, HANDBALL
Ebersbacher, Katharina, 1962-12-07, F, SCHWIMMEN
Neumann, Michelle, 1943-03-09, F, TURNEN
Gottschalk, Max, 1918-03-10, M, HANDBALL
Gloeckner, Stefanie, 1945-01-14, F, TURNEN
Faber, Mario, 1919-12-18, M, TANZEN
Rothschild, Steffen, 1956-11-15, M, REITEN
Schuhmacher, Birgit, 1917-08-25, F, FUSSBALL
Gerber, Jennifer, 1957-08-09, F, TANZEN
Frey, Lena, 1936-05-14, F, FUSSBALL
Maur, Simone, 1962-12-21, F, RADSPORT
Fassbinder, Martin, 1932-04-22, M, SCHWIMMEN
Kohler, Stefanie, 1945-07-21, F, FECHTEN
Lowe, Tom, 1973-12-13, M, RUDERN
Achen, Erik, 1975-04-02, M, TANZEN
Sommer, Maria, 1960-10-15, F, RUDERN
Mahler, Stephan, 1961-03-24, M, SCHWIMMEN
Meyer, Markus, 1969-08-10, M, TANZEN
Klug, Paul, 1946-01-22, M, TURNEN
Propst, Mike, 1990-08-15, M, FECHTEN
Hertz, Jonas, 1978-10-09, M, REITEN
Baumgartner, Katja, 1980-06-06, F, SCHWIMMEN
Duerr, Katrin, 1942-04-11, F, SCHWIMMEN
Fruehauf, Gabriele, 1955-07-29, F, RADSPORT
Eichel, Jessika, 1946-01-02, F, FUSSBALL
Winkel, Niklas, 1993-06-27, M, LEICHTATHLETIK
Gottschalk, Katrin, 1951-09-06, F, HANDBALL
Beich, Heike, 1936-04-09, F, FECHTEN
Hueber, Simone, 1964-10-22, F, TANZEN
Schroeder, Ulrike, 1923-10-19, F, SCHWIMMEN
Schiffer, Rene, 1955-04-10, M, TURNEN
Fisher, Andrea, 1934-04-07, F, TANZEN
Scherer, Anja, 1922-05-22, F, FECHTEN
Beich, Matthias, 1968-01-21, M, REITEN
Frey, Anna, 1949-02-01, F, REITEN
Wolf, Steffen, 1937-08-02, M, RUDERN
Traugott, Claudia, 1948-03-31, F, REITEN
Bauer, Joerg, 1954-01-03, M, RADSPORT
Schmid, Martin, 1933-08-20, M, RADSPORT
